label,text
0,"It was a late night and we decided to get one more beer and a bit of food. I asked for a recommendation of the best burger, like I do at a lot of places. I was told \""it's really good\"". I said, I asked for a recommendation and Greg said the same thing. The bartender clarified that the name of the burger was called, it's really good. It was like who's on first bit so I played along. Greg then said \""maybe the 5th time is the charm\"". I could tell you about the unwillingness to offer up alcohol info, making fun of another 2 guys who were at the bar, the asking us if we want pepper when we were done already, or the sheer overall uncaring shown to the 6 people to our left and right - but it's late and I need sleep. We got a comment card at the end and I wanted to fill it out, but we weren't given an ink pen - I said, do you want my birthday so I can join your rewards? I was told it's a comment card and they have no idea what the birthday is used for. We then offered up feedback to Greg and the bartender personally. The bartender seemed to care, and he did a pretty decent job. Greg knew we were upset with him and the girls next to us were to. He sat and took it but never apologized or wanted to make it right. We left paying the full bill. This placed opened in December and both of them have been there since the beginning. This place was horrible - I will never come back. And I hope nobody else goes unless something changes in a HUGE way. The names attached to this place made me want to go - food was so average and beer prices were marked up 900% on bottles. Avoid at all costs."
0,Used to dine here a lot. Food is good but the rudeness of the owner Don makes this a no go. He should not take his unhappiness out on the customers
1,"Location is awesome, great view & great people watching on the strip.  But that's where the positive ends.  Don't go here for the food.  Even after not eating all day and being drunk and starving, the food was still horrible - bland, dry, just overall bad (got the chicken burrito per the waitress's recommendation).  \n\nI would only go back for drinks on the patio... take your money elsewhere if you actually want to eat good food."
0,"False advertisement...\n\nSaw a sign outside the hotel \""#1 Buffet in Las Vegas\"" so in my head, i'm thinking this place must be good.\nPaid $30 for dinner - too expensive.\nGroups 8 or more, must pay 18% tip?!\n\nNothing indulgent here - normal buffet food.\nCrab legs tasted stale, creme brulee worst texture ever.\nSaw cotton candy when we came in, and they disappeared by the time my dessert time came around.\n\nThere can be long lines here - don't wait long or else you will be even more mad once you start eating..."
4,"We had sesame ginger, baby rays honey bbq, and kickin bourbon wings. They were very good. The fried pickles spears were good, and so were bacon and cheese potato skins. The pizza was not bad either my 6 year old enjoyed it. The gourmet mushroom burger with a portabello mushroom, lettuce, tomato, and swiss cheese was cooked to perfection and the hamburger bun was hot and toasted just right. The ruben was just ok. The vanilla milkshake was really good. Our waitress Ella B. was awesome!"
2,"Certainly not the best breakfast in Charlotte, but there aren't many options in this particular neighborhood.  Skillets subscribes to the \""quantity over quality\"" mentality.  There is nothing \""precious\"" about Skillets-- it looks like a chain and has a typical breakfast/lunch menu that you'd find anywhere else.  Their biscuits were worth the price of admission. I could list a whole bunch of complaints about this place, but in the end their food filled me up and was well cooked, if just a little \""boring\"" tasting.  All things considered, I would go there again.\n\nService was quick and very friendly (to the point of overwhelming).  I had my carry out order in just a few minutes.  Very nice people, they offered me coffee even though I was carrying out an order."
3,"This Wing Stop is huge and conveniently located near UNLV and their wing special on the Tuesday that we went was awesome and totally worth every dollar. They have lots of large TVs for sports viewing needs  \n\nWe came in a big group and they were able to accommodate us surprisingly well. We ordered 3 of the 24piece wing specials that comes with 1pitcher of beer, mozzarella sticks, carrots and celery. And on all 3 orders of the 24piece wings we were able to get different sauces for each set of orders. They made the ordering process easy and it didn't take too long for the food to come out  despite it was a busy sports night during the  basketball playoffs and we were a large group. \n\nGet 4 stars coz even though it's way bigger than most wing stops... Place still feel really packed and crammed... But that's expected from a sports bar."
2,"I went to an event at the new space and was so impressed I had to return. At our event we only had a few choices of beers, so I just assumed that was a limit on the party, not their standard selection. I was wrong. When I returned, they only had a few beers on tap none of which sounded new or different so I returned to the old-standard Copper. I enjoy Copper and all, but part of going to a craft brewery is trying some new varieties...and that's one place I definitely think OMB could improve. \n\nDuring the party the German food was delicious. Like another reviewer mentioned, many of the items were not available and had big red exes over the items. Haven't they been open long enough to offer the entire menu? This time I tried the Caprese Panini and I was underwhelmed. It was really bland and boring and they forgot to put on the lemon aioli. The German potato salad on the side was really good, so stick to the German menu and I don't think you'll be dissappointed. Service was very slow and forgetful. Maybe it's because it's a big place or because it's busy, but she forgot drinks and I had to track down a random busser for my side of aioli. \n\nOn  the positive side, this new venue is absolutely gorgeous and would be perfect for an event large or small. The place itself is five stars worthy.I saw a lot of kids so I'd say it is fairly family friendly considering it's still technically a brewery..\n\nOverall, I will give them another chance...maybe once it quiets down a little bit and they hit their stride."
2,"About 2 rows of stores.  I guess it's a good start.  however, there were only a couple of places to eat and if I'm not mistaken, a Chines place and a pretzel place.  No food court.  That's a big bummer.  \n\nIt's one of those covered out doors outlet.  Very nice for this time of year but it'll still be pretty dang hot in the summer, even with misters, which I'm assuming they  have.\n\nThere is an H&M which is cool but I didn't stop by there ... waaay to many people. I'll spend more time there after the Christmas crowd dies off a bit."
2,"I came here a couple weeks ago with my boyfriend for late night dinner after driving from CA.\n\nAfter reading the reviews and looking at all the pictures I guess I kinda expected to eat around some sort of fire, but I was wrong. The fire is actually in the lounge area which I couldn't go into since I'm not 21. We were seated in the restaurant area which was decorated with lots of plants and flower decor with blue and pink lighting. I expected it to be very blue and pink, but a lot darker, so this was way brighter than I expected. \n\nI ordered the Conquest Sandwich and coffee and my boyfriend ordered a burger with mushrooms ( I dont remember the name). \n\nThe coffee was HUGE, probably as big as a regular soda cup. It was pretty cool for pictures, but since it was so big, by the time I got halfway the coffee would already be cold. \n\nThe mushroom burger came first. It came with a bunch of fries and a side of ranch. The fries was pretty especially with the ranch which was very light, not like most other places with thick fatty ranch.  The burger LOOKED delicious , but it was so soggy and soaked in juices from the sauces and meat that it just fell apart once my boyfriend picked it up. He couldn't even eat the buns anymore because it was just completely soggy, so he just ate the contents of the burger with a knife and fork.  \n\nThe Conquest was pretty good from what I recall. I finished my whole half of the sandwich which me and my boyfriend split. It wasn't as fantastic as I expected from the description on the menu, but it was good. It didn't come with any sides at all, so it was just the sandwich. \n\nThe portions we got weren't worth the price of the food. I expected more for what I paid, especially after reading these reviews. I also expected the food to be a lot better because, yet again, the great reviews. \n\nThe service was alright though. The waitress would check up on us here and there to fill the coffee and water. She'd also check to make sure we had everything we needed. \n\nWe probably won't come back here again. At least not until I'm 21 and can check out the lounge :P"
1,Ok only got a two star cuz I love sephora but I had to hurry and write a review that's how horrible it was at this location ok so they absolutely bug at this location there is nothing wrong with asking if I need help of course if u didn't I would have had a problem but let me tell u that being asked 14 times in a15 min time frame is crazy not only did they follow me around and this lil Mexican lady followed me around acting like she was fixing shelves everywhere I went (ridiculous) btw I'm Mexican ;) so I can say that;) was so irritated I almost wanna call corporate I refused to even purchase anything they betta know I'm a certified V.I.B lol
4,"At first I wasn't sure what I thought of this cirque. I've seen \""O\"" at the Bellagio before, which was just amazing, and which I'd highly recommend.\n\nI recently watched a documentary on the making of \""Love\"" and they said it was not typical of the cirque formula, but instead was more like a musical. I wholeheartedly agree with that statement. I thought it was AMAZING, but very different from other cirques I've seen.\n\nThe music really set it apart, and the creators set out to make the performance enhance the music. There are so many things going on at the same time throughout the performance sometimes it's hard to know where to look! I like how they varied the pace throughout the show, using fast or slow songs, and I also loved the variety of performances. You had acrobats, gymnasts, a section where performers were rollerblading on a ramp...the whole thing felt like sensory overload by the time we left!\n\nI am dying to see this again - we bought the CD when we left, and the way they mixed the music was amazing. If you like Beatles paraphenalia, be sure to check out the Love store. I always find something cool to buy there!"
1,"La Boucherie de Paris me laisse plut\u00f4t sceptique quant aux sandwichs et surtout ceux \u00e0 la viande, viande s\u00e8che et pas forc\u00e9ment des plus fra\u00eeche. Cependant les prix ne sont pas \u00e9lev\u00e9s (environs 5$ pour un sandwich garni), ce qui est avantageux pour les \u00e9tudiants de l'Universit\u00e9 de Montr\u00e9al, se trouvant \u00e0 deux pas.\n\nPersonnellement, je pr\u00e9f\u00e8rerais payer plus cher et avoir une meilleure qualit\u00e9.\n\nCe qui me r\u00e9jouit par contre, c'est qu'ils disposent d'un beau choix de produits import\u00e9s et principalement fran\u00e7ais tels que petit sabl\u00e9, galette au beurre et autres."
4,Love love this restaurant. Is casual enough that u can dress down but still have a feeling of a fine dining food is excellent and the service is outstanding. Crab cake is my fave!!! Can't wait to go back - yes I've been here more than 5x!!
1,"Not impressed. It looked fun from a newspaper ad but then we got there and it was SUPER EXPENSIVE for a dinky little aquarium. I don't mind paying that kind of money for like a legit aquarium and zoo combination, but it was TINY and it's definitely not worth paying the money. I'd rather spend the $18 adult admission ($13 for children under 12) on something else."
4,"Fourth purchase with superstition jeep and obviously I'm impressed. Charlie and Miguel are quite the team. They cut the BS, got a deal done quick and fairly."
3,"I have read some of the reviews and I feel compelled to write to counter some of the negative statements.  This is not \""the\"" most amazing place for statues or pots.  But it comes close! Some reviewer said that Home Depot had a better selection of pots - I've worked for Home Depot and that is absolutely not true.  HD has only a fraction of what this place carries.  Little Baja is a bit pricey but right now they're having a huge sale so that helps.  I did see a huge area where they set items aside for special order, so I think you can be reassured if you order something you'll get it.  One thing you have to keep in mind is that a lot of this stuff comes from Mexico.  So, things are not going to flow like an American business.  And I suspect that the attitude comes more from the customers than from the workers.  \n\nI have been there recently two times and have been very pleased with the service and the friendliness of the staff.  The only reason why I rated this 4 stars and not 5 is because I wish they carried items made from finer clay like Italian clay pots.  It's a huge, huge area with many pots, fountains, statues, columns, even a gorgeous fireplace mantle made out of marble - really gorgeous.  I have not ordered or bought anything yet, but I don't expect to be disappointed.  Everyone seemed very interested to help.  I will update my review after I purchase my statue.\n\nI am not associated with this establishment in any way or with anyone who works there.  I just moved to LV from LA and am looking for a statue for my courtyard - and I think I found it here!!!"
4,"The first time I was looking to get a dog I initially went to the humane societies near my place in the south west and was told by a lady working there that if I was serious adopting I should consider the animal foundation specifically because they are a kill shelter so I could go down there and potentially save a life.\n\nI've been there many times since then and always found the facilities clean and the volunteers/workers friendly and knowledgeable.  They really want to find homes for the animals, the dogs that are in danger of being put down have extra signs on their kennels pleading with visitors to save them.  I think they try to work with what they have and do the best they can.\n\nThat said both of my dogs are from animal foundation and they are the best dogs.  i wish I could take them all home!  For the adoption fee you get a your animal spayed/neutered, micro-chipped, shots, and a free visit to the vet.  My first dog had an ear infection which they were very upfront about and it was nothing major.  When it came time to get a second dog they were very helpful about finding the right personality to go along with first girl.\n\nI highly recommend this place if you're thinking of a new addition to your family."
1,"4 stars for stock. Negative 2 stars for terrible customer service, and it should probably be more but I'm feeling generous.\n\nI walked in and there was only one other customer in the store. The worker, I'm presuming owner, was in the back playing on her computer. She never once greeted me, asked if I was looking for anything in particular, if I was ready to check out. Nothing. I was invisible, and I was there for about 45 minutes. What the hell. The other customer had to *track her down* to pay, and she didn't seem happy about it. \n\nTheir stock is the only redeeming quality - and I won't lie, compared to some other stores in Vegas, their selection is fantastic. They had not only older novels, but tons of newer novels in great condition. Looking for Game of Thrones? They have about fifteen copies in paperback. They also have an extensive childrens and YA section, which (although I'm twenty two) is a favorite of mine.\n\nI'm surprised this store has survived so long with such terrible customer service.\n\nTip to the owners: SMILE and say Hello to the people who are giving you money! I would have purchased today if I had been greeted even once, or engaged in conversation -- but instead, I left feeling sour. Buying books should not be a negative experience. The reason I don't buy solely online is because I like face to face interaction with other book lovers, but they certainly don't work at this store."
2,"I appreciate the indoor-outdoor appeal of Chelsea's.  It's a little hard to hear if you sit inside, but that just means you can turn your attention to the patio. \n\nI've never loved anything I've ordered, but I have been more than once, so you know the food is still pretty good. Albeit spendy. \n\nChelsea's is one of those places where you can take your parents and your dad will feel comfortable because he recognizes things on the menu, or you can meet your girlfriends for happy hour and everyone will be at peace in their cute shoes sipping cocktails.\n\nLet this place help you make the most of our glorious spring!"
1,"We only go to One World when we're too intoxicated to realize that well, we're at One World. My roommates and I would usually wake up in the morning with a couple plain white cardboard boxes on our living room table with nothing left but grease stains in them. Seems like the $5 dollar pizzas win us over after a long night on Green St.\n\nI have had One World sober. Maybe if I was drunk, it would have tasted better. Not exactly quality ingredients and the bread tastes a little like the white cardboard box it comes in.\n\nOpen basically until the sun rises, it does it's job of satisfying late night hunger. Personally, I'd opt for passing out instead."
4,Fast and friendly service! The food was flavorful and tasted fresh. Service was efficient and atmosphere was lively and great for families or casual dining.  We'll be back for sure!
1,"This was my go to place in north Summerlin when I was too tired to drive to Sushi Mon.  On two of my most recent visits I stopped eating after one piece of sushi because the rice was underdone and inedible.  To add insult to injury they charged my for what I had ordered and was unable to eat.  Over a 6 month period I collected 10 stamps and my next dinner would have been free, but I am so sure I'll be disappointed I don't even want to to there for a free meal!"
3,"Any place that serves the full menu until 2 a.m. is awesome!  Aside from food till 2 a.m. (that's every night by the way), the food is fabulous.  So are the drinks.  I'll admit that I've only ever had the burgers, but damn they're good.  This place is on the pricey side...but who can put a price on a great burger?\n\nAlso, they have a to-go side too!\n\nMake sure to try the red velvet cup cakes, if you still have room after the burger."
0,"I came here just for a haircut. My hair was long, and damaged, hadn't had it cut for awhile. Nevertheless, I had enough to work with. I don't speak French, nevertheless, I said I wanted the dry ends removed and some layers. Pretty standard request. She started cutting from the top and cut it reeeeally short. Then it seemed by the end she realized that it was too short and left the last section at the back long. So now it's like I have a bob with some ratty long ends at the back. My hair is thin, even though I have lots of it, but now all the thickness is in the short hair. Plus it's not even cut evenly anywhere. Looks ridiculous. I will need to style it myself to see if I can fix it. It's not even long enough to stick properly into a ponytail anymore. While she was cutting I could see how much she had snipped off and started thinking to myself, about how long it would take to grow back. My estimation is 1.5 years. She asked if I was ok at this point, obviously seeing the look of despair on my face. I went on a Thursday evening... which is double the price, I thought since they weren't students? I think I thought wrong, save yourself the tears and go somewhere else. And by the way, I waited a week for this appointment."
0,"It is now called Transformations, in Silverado ranch area.\n\nI had high hopes for this place as my first appt. went well.  But then every appt after that, there were issues.  Once again, it's difficult to find a professional black hair salon, where they really care about your hair and desire to help you maintain healthy  hair.\nEvery visit with the stylist was met with 'attitude'.  Ms. M was not open to comments about how I wanted to have my hair done and refused to give any information on the products she used for fear that I would go buy it for at home use.  Isn't that the most selfish, non professional and paranoid position to take?  Mind you I was a weekly client.  The worst thing that happened is she left product in my hair that should have been washed out and my hair started shedding the next morning. I believe this was done on purpose because I had continued to ask her to make sure I was dry before putting heat on my hair.  My mistake was not getting up and walking out with my wet head.  I'd still have my hair if I did."
3,I die for this place.............
0,"Never have I been so dissatisfied with a dining establishment. The only thing more awful than the food, was my server, Lucy. We waited for 30 minutes to be sat (which I was fine with), THEN we waited about 45 minutes for tacos that tasted like they we're fresh  out of the microwave.  Twice, I had to get up to find my server so I could order drinks & both times she seemed like she was bothered. (Do your job girl, then your customers won't have to). I am usually not a tough critic when it comes to resteraunts, or service but senior frogs deserves ZERO stars. The only reason I am even giving them one star is because there is a nice view of the strip outside. Five thumbs down for se\u00f1or frogs."
0,"We were give a gift certificate for this restaurant, and thought we would go for Valentines day. I made reservations a week before at the Sahara location, and called the day before to confirm. When we arrived, there were 4 other couples in the doorway waiting. We stood there for 10 minutes before someone came to the front. BTW, there is no podium or reception area at the front either) Did they greet us? NO. They took one couple to be seated. At that point, another young couple that was waiting, said to us, \""That's the 2nd couple that's been seated since we arrived half hour ago, and we were here before they were. We're appaled and would rather go elsewhere. Good luck to you.\"" We began to wonder if we should stay. We figured we would wait a while longer. After all, it was Valentines Day, where else are we going to get seated at the last minute?\nAbout 15 minutes went by, and no one came to greet us, and there were 2 empty tables. I walked across the room near the kitchen entrance and told one of the employees we had been waiting over 20 minutes, and no one has even aknowledged our presence, and that we had a reservation. Their response was, \"" sorry, it's Valentines Day and we're short staffed.\"" I informed them that was not my problem, and at the very least someone could at least greet us & inform us that they're running behind. Again, the response was, \""Sorry, we're too busy.\"" At that point we left as the other couple behind us did the same.\n\nA week later, we decided to return for my birthday(after all, we had a free gift certificate to use). If I had trusted my instincts the first time, I would've left the certificate on Valentines Day for someone else to use.\nAfter we again waited 10 minutes before someone aknowledged we were even there, we were seated., We were brought a wine list and asked for our drink order. We stated we would have water while we looked over the wine list. The server brought out tapwater with no ice, and a basket of very dry bread. Again, I started to question myself. (Should I go somewhere else?)\nThe salad was served on a warm plate with very runny dressing. My wife asked for her dressing on the side, and of course her salad was drenched instead.\nFor the main meal, my wife had an undercooked piece of fish, and I had overcooked gnocci.\nThis was by far the worst restaurant I've ever been to in my life. I made sure they were aware of that when I informed them they were not getting a tip. I would stay away from this place. The staff is rude, and they clearly do not care about the customer whatsoever. I'm glad I had a gift certificate, because I most certainly would not have paid for this experience."
3,"The most esthetically pleasing tacos with a delicious list of cocktails. \nPerhaps a bit overpriced, but hey, a girl's got to treat herself once in a while."
4,"Thank goodness for Jack's.  As an outsider, I wasn't sure if I would be able to find a bar I felt comfortable in after one night, but Jack's proved to be the spot.  Both beer and shots were super cheap.  There was a flow of people in and out, but even at its most busiest, I didn't feel like I was being pushed around.  The locals were nice enough, or drunk enough.  You have to love a bartender who wears a Jenna Jameson shirt.  The mix of people in the bar was definitely all over the place.  I was in Pittsburgh one night and I met a real steel worker (yes, in the flesh).  Even at the end of the night when the girls room had puke on the floor, I didn't mind.  It almost made sense to me.\n\nIf I ever come back to this part of Pittsburgh, I will definitely get my drinks at Jacks."
0,"This is the place that I had sushi while I was in Vegas about a year ago that made me feel sick. Just stay away! Everything else seemed rather sub-par even though the selection was fairly large. Not much to say about this place, but...I rather just have a go at Todai instead of this shack. \n\nSave yourself some money and go somewhere else. It's not worth it."
0,"Open 24 hours MY ASS.\n\nI came here with my boyfriend yesterday at 7:30am for breakfast. We decided to come here because they have some island style dishes on their breakfast menu, like Hawaiian French Toast,  Loco-Moco, and Island Breakfast. Unfortunately we never got to try ANY of that because when we got there, the door was locked. There was a buzzer to press to get someone's attention, but they never came, despite the fact that we buzzed FOUR times and waited for 10 minutes just standing there. As we waited, we peered through the windows. There was loud music playing and the lights were all on, but we didn't see a single person. We knew their had to be at least two employees in there though because there was a motorcycle and a silver suv parked right out front and those were the only other cars in the parking lot besides ours. We even went as far as looking up their phone number so we could call them two times, but still, NO ONE ANSWERED. I don't know if the people were sleeping or doing something else, but I really don't think this place should be \""open 24 hours\"" if they won't even open their doors for breakfast!"
4,"We always stay for free.  Can't complain about free.  Super cute asian girl that works at Java Vegas Coffee that used to live in Riverside, CA."
3,"Kitchen Consignment Store to sell lightly used kitchen stuffs and to purchase.  What a great idea!  I popped in today to Kitchen Switchin' just to check it out and see what they have going on... I would like to get rid of a few kitchen things I have and since it is consignment, you can get 45% of the sold price in cash OR 55% of the sold price in store credit.  This is pretty standard in the consignment world.  You have to wait for the item to sell before you reap the rewards.  Although a big reward is paring down at home so that happens instantly when you start getting rid of things that you simply do not use.  \n\nThey have some great stuff!  I wanted a few items, like a fantastic mojito making thing, it was only $6.95.  They also had a Dyson hand vac that I would love to own, that priced out at $79, but retails for WAY more.\n\nAlready getting my things together to bring over and I recommend, you do the same- nothing like making room for MORE!  :)"
0,"Worst place ever! Rude staff and the absolute worst security! The head of security has a superiority complex! How he treated me was uncalled for. Having several security guards man handle a woman on her bachelorette night is beyond ridiculous! Understandable if I was violent but getting kicked out for getting hugs and crying for being emotional from wedding planning after only being in the club for 30 minutes stupid. Kicking me out with none of my belongings and not telling my friends my where abouts. Even when my fianc\u00e9 found out and skipped his bachelor party to come find me they wouldn't tell him! Thanks to these morons I was hand cuffed paraded around the Venetian, I had bruises on my arms and wrists on my wedding day. I will never forgive this place of what humiliation they put me through! Do not go to this club especially if you're a woman! Oh and I also spent $3000 for VIP... To get kicked out after 30 minutes for being emotional! If it was an option it would be negative stars! DO NOT GO HERE!"
0,"You get what you pay for, for sure. A guy at the front desk was unbelievably rude to me the other day. Accusatory, sarcastic...oh, my gosh. Why would such a hostile human being be a presence at the front desk? I think he's an acting manager or some such nonsense. My kids have memberships here... but, personally, I'll never go back."
3,"A 'typical' Irish pub, and I mean that in a good way. We went here for a late evening snack, the place was quite crowded, but we managed to get a table upstairs. Once seated we got quick and very friendly service. We had chicken wings, nothing very exotic, but they came quick and tasted very good. All the time we were seated we got super service from the staff. \n\nA band started to play Irish music downstairs, so after the chicken wings we went down to see the band. And they were really good, playing a mix of Irish folk songs, Irish rock classics and other rock tunes played in an Irish sort of way. Nice! The atmosphere in the pub was genuinely good, and we totally forgot that we were inside a hotel in Las Vegas.\n\nAll in all, this is a place I would like to come back to, anytime."
1,"From the minute you step in the door, it's pretty obvious that this is a chain. The nice thing about pubs in Ireland (lived over in the UK until I was 21, so I've been to a pub or seven) is that they may be owned by one or two brewery's, but they each have their own feel, menu, and clientele. Also, I've never seen a pub in Ireland with the servers wearing Scottish kilts; come to think of it, I've never seen one with the servers wearing Irish kilts either. The place lacked the craic (not a drug, the other kind--fun, enjoyment, abandonment, or lighthearted mischief; often in the context of drinking or music). \n\nWhat I really want to know is what the heck nachos were doing on the menu in a so-called Irish pub. Just because potato wedges were substituted for tortilla chips doesn't mean the dish is now Irish. Oh, and what was up with the Cheese Whizz crap they put on top of them. On the bright side, the boxty wasn't bad--basically stewed beef (cooked with Guinness) in a potato pancake. \n\nSuggestion:  a live, Irish band might make all the difference to D'Arcy McGee's, but I'm not in charge of marketing. In the mean time, if you want a place with a somewhat more traditional Irish pub's atmosphere, go to Rula Bula on Mill Avenue."
3,"The bartenders are very knowledgable about  their beer and provide really helpful tips. I wouldn't recommend this place if you are Miller Lite (or similar)- cost is the same as their craft beers.  Their pizza dough is great, toppings are fresh, wide selection. Only thing is, I'm a sauce person. I like a lot of red sauce on my pizza. They are not heavy with their sauce. Random- their homemade potato chips are great. Also, consider stopping by for trivia Wednesday nights- low tech, but fun."
3,"The Last Drop was the first bar I ever went to in Edinburgh, where I ordered a vodka and coke (standard, the Malibu, Peach Schnapps and Aftershock chaser phase was yet to happen) and sat around staring at people and looking uneasy. What do my alcohol choices  of the nineties have to do with anything you might be thinking? Well, nothing really, I just took the chance to have yet another reminisce about my early drinking years, because the novelty phase when you first start drinking is definitely the best.\n\nAnyway, about the pub, being situated where it is, right in the Grassmarket, Last Drop is part of a busy strip of pubs, which are always heaving with people. Last Drop is a lot cosier and welcoming looking than some of the others, and there are some nice booths to sit down in and settle with a drink for the night. Just a nice wee pub really, no complaints. It will be absolutely rammed during the festival in August, but then again, where isn't?"
